Domain,Model,Accuracy,Mean Confidence,Overconfidence,beta1,beta1_sig,ECE,ECE_SPD,Pct_Change,ece_sig
WGD,Claude Haiku 4.5,0.38461538461538464,0.27372701372701375,-0.11088837088837089,0.4523560618616739,***,0.1227816627816628,0.08109663409337677,-33.95053279447166,*
WGD,Gemini 2.5 Flash,0.42128701848140726,0.6382988198619461,0.21701180138053888,0.5801242244395513,***,0.21701180138053888,0.07167930660888408,-66.96985778981137,***
WGD,Llama 4 Maverick,0.37207792207792206,0.588491341991342,0.21641341991341995,0.4929946822024144,***,0.2164134199134199,0.0735952380952381,-65.99321884720402,***
WGD,GPT-5.4 Mini,0.4270562770562771,0.44302597402597405,0.015969696969696967,0.24423628051544694,***,0.04606060606060607,0.08706709956709956,89.02725563909767,***
WGD,Humans,0.34145569620253163,0.5361392405063291,0.19468354430379747,0.2678723261538705,***,0.21572784810126586,0.21966002525879919,1.8227489831018506,
LifeEval,Claude Haiku 4.5,0.6227676269516931,0.6604164694746806,0.0376488425229875,0.7779513222780966,***,0.048473959498324955,0.16261277935858978,235.4641977703698,***
LifeEval,Gemini 2.5 Flash,0.6451221351345034,0.7655659816786333,0.12044384654412987,0.8464757119059815,***,0.12095081964628587,0.09903507644883568,-18.119549137030738,***
LifeEval,Llama 4 Maverick,0.6342877513721508,0.8193988611042337,0.1851111097320829,0.836533243486214,***,0.2085944733668294,0.1715255450581295,-17.770810372100005,***
LifeEval,GPT-5.4 Mini,0.6296065935190743,0.5969033477321815,-0.032703245786892876,0.4858698343246528,***,0.05639385349859857,0.05952463882438182,5.551642832602399,
LifeEval,Humans,0.4978713787303931,0.6456740506329114,0.14780267190251828,0.5308322724857787,***,0.17809272315400654,0.13454095885365516,-24.454544536718537,***
MedEval,Claude Haiku 4.5,0.1451998331552832,0.8229296875,0.6777298543447168,0.11955310219536604,***,0.6777298543447168,0.36045087363108813,-46.81496302393219,***
MedEval,Gemini 2.5 Flash,0.14829278447237776,0.8699738903394255,0.7216811058670478,0.12960087818339017,***,0.7216811058670477,0.4195922592655629,-41.859048843816815,***
MedEval,Llama 4 Maverick,0.14840602249630144,0.7858203125,0.6374142900036985,0.1146355158019687,***,0.6374142900036985,0.36089624917155844,-43.38121143009449,***
MedEval,GPT-5.4 Mini,0.14829861250164464,0.9144401041666667,0.766141491665022,0.15774544515043318,***,0.766141491665022,0.4631699747627691,-39.545112775946656,***
